Timestamp,What year are you in?,How would you rate yourself on a scale of 10 from 1 (introvert) to 10 (extrovert),How many texts do you send per day?,"Are you left-handed, right-handed or both?",What position do you sleep in?,How many hours of sleep do you get?,How many siblings do you have?,"What pets do you have? If more than one, separate with commas.",Make up a very random 4-digit number,Do you have a tattoo?,How do you get to work or school?
1/16/2024 15:14:27,First,4,20,Right,Stomach,7-8,1,0,2376,No,walk
1/16/2024 15:14:40,Second,3,5,Right,Back,6,1,cat,4635,No,walk
1/16/2024 15:15:23,Third,4,"15-30, depends",Right,Back,5-7,3,N/A,3790,No,Bike
1/16/2024 15:17:50,Third,5,0,Right,Back,6h,no,no,6117,No,Bus
1/16/2024 15:17:51,First,2,"Depends on the day, between 5-30.",Right,Stomach,"On average, 5.",3,0,6782,Yes,walk
1/16/2024 15:19:07,First,2,5-30,Right,Stomach,5,3,0,6782,Yes,walk
1/16/2024 15:22:39,First,5,,Right,Left side,6-7 :(,2 :D,I have two cats,5939,Yes,Bike
1/16/2024 15:23:32,First,2,70,Right,Right side,5,2,N/A,3276,No,Bus
1/16/2024 15:25:20,Third,6,20,Right,Right side,6-7,1,1,2323,Yes,Bike
1/16/2024 15:25:39,First,5,,Right,Left side,6-7 :(,Two,Two cats! :D,3216,Yes,Bike
1/16/2024 15:26:43,Second,3,30,Right,Left side,8,1,1,1025,Yes,walk
1/16/2024 15:28:24,First,6,2-5,Right,Right side,10,1,dog and cat,7251,Yes,Bike
1/16/2024 15:28:43,First,2,5,Right,Back,8,2,Jack Mackerel,7682,No,walk
1/16/2024 15:28:46,First,1,less than 5,Right,Left side,6-8,1,dog,1107,No,Bus
1/16/2024 15:29:26,First,6,,Right,,7,4,,4895,No,Bike
1/16/2024 15:29:56,Third,5,3,Right,Left side,6,1,1 cat,4444,Yes,Bike
1/16/2024 15:30:13,First,7,maybe close to 100,Right,Right side,8-9,3,"5 cats, 2 dogs ",1111,No,walk
1/16/2024 15:30:35,First,7,"not sure, maybe 50?",Right,Left side,6,1,"dog, cat, cat",1234,No,walk
1/16/2024 15:30:58,Second,6,15-20 ish probably ,Right,Right side,8,2,5 dogs ,5879,No,walk
1/16/2024 15:31:28,Second,6,30,Right,Stomach,7 ish,5,"two dogs, one cat",9361,No,walk
1/16/2024 15:32:15,Second,6,50,Right,Back,8,1,1,1614,No,Bike
1/16/2024 15:32:39,Second,4,160,Right,Stomach,8,1,Dog,0127,No,walk
1/16/2024 15:33:09,Second,1,5,Right,Right side,7,1,"cat, dog",3421,No,Bus
1/16/2024 15:33:31,Third,3,50,Right,Right side,8.5 h,1,0,2795,No,Bus
1/16/2024 15:33:46,First,3,20-40? Maybe ,Right,Right side,6-9 ,5,3 dogs ,5286,No,Bus
1/16/2024 15:34:01,First,3,10,Right,Right side,10,3,4 dogs,2739,No,walk
1/16/2024 15:34:22,Third,3,50,Right,Right side,8.5 h,1,0,2304,No,Bus
1/16/2024 15:34:47,First,1,10,Right,Left side,7,0,,0520,No,walk
1/16/2024 15:35:56,First,8,50,Right,Right side,8,2,2,4388,No,walk
1/16/2024 15:36:09,First,3,Not many(don’t really know),Right,Left side,7,5,3 dogs ,7928,No,walk
