Timestamp,What year are you in?,How would you rate yourself on a scale of 10 from 1 (introvert) to 10 (extrovert),How many texts do you send per day?,"Are you left-handed, right-handed or both?",What position do you sleep in?,How many hours of sleep do you get?,How many siblings do you have?,"What pets do you have? If more than one, separate with commas.",Make up a very random 4-digit number,Do you have a tattoo?,How do you get to work or school?
9/28/2023 11:19:13,First,4,8,Right,Left side,8,1,"dog, cat",4267,No,walk
9/28/2023 11:20:24,First,4,8,Right,Left side,8,1,"dog, cat",4267,No,walk
9/28/2023 12:15:05,First,5,45,Right,Left side,8,2,"1 dog, 1 horse ",3864,No,Bike
9/28/2023 13:52:41,Second,8,300,Right,Back,5,2,N/A,1869,Yes,Bike
9/28/2023 13:53:22,Second,8,300,Right,Back,5,2,N/A,1869,Yes,Bike
9/28/2023 14:00:54,Second,8,40,Right,Right side,8,2,"dog, dog",4832,No,Bike
9/28/2023 14:02:12,Second,8,60,Left,Right side,7,1,1 dog and a few fish,3845,No,Bike
9/28/2023 14:02:37,First,7,20,Left,Stomach,9,3,none,0814,No,Bike
9/28/2023 14:03:04,Second,8,40,Right,Right side,8,2,"dog, dog",4867,No,Bike
9/28/2023 14:03:50,First,5,20,Right,Right side,7,3,0,8888,No,walk
9/28/2023 14:04:50,First,4,10,Right,Back,7,3,0,4451,No,Bike
9/28/2023 14:05:29,First,4,10,Right,Back,7,3,0,4451,No,Bike
9/28/2023 14:06:20,Second,7,50,Right,Stomach,8,0,None,8881,No,Bike
9/28/2023 14:07:40,Second,7,100+,Right,Back,7-8,4,0,0104,No,Bike
9/28/2023 14:08:57,First,8,30,Right,Left side,5,0,4 cats,1739,No,Bike
9/28/2023 14:11:40,Third,4,40,Right,Left side,6,1,1,7896,No,longboard/walk
9/28/2023 14:13:08,First,1,10,Right,Right side,6,1,cats,2345,No,Bike
9/28/2023 14:13:21,First,6,100+,Right,Left side,6-8,1,1 dog,1124,No,walk
9/28/2023 14:18:11,First,3,3-5,Both,Left side,8 hours,Non,Non,3568,No,Bus
9/28/2023 14:21:55,First,3,10,Right,Right side,6,1,cats,9385,No,Bike
9/28/2023 14:22:04,First,8,45,Right,Right side,6,3,"3 dogs, and a snake",1156,No,Bike
9/28/2023 14:24:17,First,8,,Left,Left side,8 I hope ;),one sister,dog,8240,No,walk
9/28/2023 14:26:30,First,6,10,Right,Stomach,8,1,2 Dogs,6515,No,Bike
9/28/2023 14:31:18,First,8,I send about 50 texts a day.,Right,Left side,8 1/2,1,Two birds ,5511,No,walk
9/28/2023 14:31:45,Second,8,,Left,Left side,8,1,,0003,Yes,Bike
9/28/2023 14:32:04,Fourth,3,80,Right,Left side,8,0,"1 cat, 1 dog",0719,Yes,Car
9/28/2023 14:32:31,Second,5,6,Right,Right side,8,7,dog,5674,Yes,Bike
9/28/2023 14:32:38,First,8,50,Right,Left side,8 1/2,1,2 birds,1431,No,walk
9/28/2023 14:32:39,Second,4,60,Right,Right side,7,1,weenie/poodle mix dog,1989,No,walk
9/28/2023 14:33:25,Third,8,5,Right,Left side,7,3,dog,2024,No,Car
9/28/2023 14:33:33,Second,5,6,Right,Right side,5674,7,dog,5672,Yes,Bike
9/28/2023 14:34:54,First,6,1000,Right,Left side,8,2,"3 cats, 2 dogs",1852,No,Bike
9/28/2023 14:35:26,First,6,100,Right,Back,7,1,Cat,2913,No,walk
9/28/2023 14:35:35,First,4,50,Right,Right side,7,2,None,8730,No,Bike
9/28/2023 14:35:47,First,8,50,Right,Left side,8,2,"Dog, Cat, Fish, Tortoise",4902,Yes,Bike
9/28/2023 14:35:50,First,4,20,Left,Left side,8,0,1 dog ,8780,No,Bike
9/28/2023 14:35:58,First,10,30,Right,Right side,8,1,"Cat, cat, cat",2699,No,walk
9/28/2023 14:36:01,First,4,3,Right,Left side,9,2,1,5835,No,Bike
9/28/2023 14:36:04,First,6,40,Right,Back,8,0,0,8888,No,Bus
9/28/2023 14:36:17,First,8,10,Right,Back,8,3,1 dog,6492,No,Bike
9/28/2023 14:36:17,First,8,probably like 50,Right,Left side,8-10,2,0,9243,No,walk
9/28/2023 14:36:31,First,7,100,Right,Back,7,1,Cat,1290,No,walk
9/28/2023 14:36:35,First,6,100+,Right,Left side,7,2,A Dog,9476,No,Bike
9/28/2023 14:36:41,First,10,30,Right,Right side,8,1,"Cat, cat, cat",2698,No,walk
9/28/2023 14:36:52,Second,4,60,Right,Right side,7,5,a german shepard mixed with a Dalmatian,7492,Yes,Bus
9/28/2023 14:37:06,First,7,"Depends on the day, if the homies text I will respond. ",Right,Left side,I like getting up at 4pm,1,Two cats (Chip and salsa),9722,No,Bike
9/28/2023 14:37:07,First,7,100 - 200,Right,Back,6,0,0,2131,No,Bus
9/28/2023 14:37:10,First,8,100+,Right,Back,6,1,0,5727,No,walk
9/28/2023 14:38:03,Third,6,100,Right,Left side,7,2,"1, 2",1797,Yes,Bus
9/28/2023 14:38:32,First,4,10,Right,Back,9,1,no pets,3743,No,walk
9/28/2023 14:39:03,First,6,100 - 200,Right,Back,6,0,0,1231,No,Bus
9/28/2023 14:39:34,Fourth,7,Probably a little more than 100,Right,Right side,6-7,2,0,8539,No,walk
9/28/2023 14:39:50,First,7,50+,Right,Left side,6-7,1,zero,2984,No,Bus
9/28/2023 14:39:51,Third,4,3-4 texts? I'm not sure for that.,Right,Left side,6-7 hours,One younger brother,I don't have pets:(,0127,No,Bus
9/28/2023 14:44:06,First,4,50-80,Both,Left side,8-9,0,None,9361,No,Bus
9/28/2023 14:45:33,Second,9,30,Left,Left side,8,2,dog,7677,No,walk
9/28/2023 14:46:35,First,3,10,Right,Left side,8,1,"Dog, Chicken, Chicken",1037,No,Bike
9/28/2023 14:52:02,Fourth,5,15,Right,Left side,7,1,dogs,2756,No,Bike
9/28/2023 14:56:34,First,9,200,Right,Right side,8,1,0,1027,No,walk
9/28/2023 15:00:25,Second,7,35,Right,Left side,6,2,0,5730,No,Bus
