Year,Extraversion,Number of texts,Handedness,Sleep position,Hours of sleep,Number of siblings,Pets,Random number,Tattoos,Commute by
First,4.0,8.0,Right,Left side,8.0,1,"dog, cat",4267,No,walk
First,4.0,8.0,Right,Left side,8.0,1,"dog, cat",4267,No,walk
First,5.0,45.0,Right,Left side,8.0,2,"1 dog, 1 horse ",3864,No,Bike
Second,8.0,40.0,Right,Right side,8.0,2,"dog, dog",4832,No,Bike
Second,8.0,60.0,Left,Right side,7.0,1,1 dog and a few fish,3845,No,Bike
First,7.0,20.0,Left,Stomach,9.0,3,none,0814,No,Bike
Second,8.0,40.0,Right,Right side,8.0,2,"dog, dog",4867,No,Bike
First,5.0,20.0,Right,Right side,7.0,3,0,8888,No,walk
First,4.0,10.0,Right,Back,7.0,3,0,4451,No,Bike
First,4.0,10.0,Right,Back,7.0,3,0,4451,No,Bike
First,8.0,30.0,Right,Left side,5.0,0,4 cats,1739,No,Bike
Third,4.0,40.0,Right,Left side,6.0,1,1,7896,No,longboard/walk
First,1.0,10.0,Right,Right side,6.0,1,cats,2345,No,Bike
First,3.0,10.0,Right,Right side,6.0,1,cats,9385,No,Bike
First,8.0,45.0,Right,Right side,6.0,3,"3 dogs, and a snake",1156,No,Bike
First,6.0,10.0,Right,Stomach,8.0,1,2 Dogs,6515,No,Bike
Fourth,3.0,80.0,Right,Left side,8.0,0,"1 cat, 1 dog",0719,Yes,Car
Second,5.0,6.0,Right,Right side,8.0,7,dog,5674,Yes,Bike
Second,4.0,60.0,Right,Right side,7.0,1,weenie/poodle mix dog,1989,No,walk
Third,8.0,5.0,Right,Left side,7.0,3,dog,2024,No,Car
Second,5.0,6.0,Right,Right side,5674.0,7,dog,5672,Yes,Bike
First,6.0,1000.0,Right,Left side,8.0,2,"3 cats, 2 dogs",1852,No,Bike
First,6.0,100.0,Right,Back,7.0,1,Cat,2913,No,walk
First,8.0,50.0,Right,Left side,8.0,2,"Dog, Cat, Fish, Tortoise",4902,Yes,Bike
First,4.0,20.0,Left,Left side,8.0,0,1 dog ,8780,No,Bike
First,10.0,30.0,Right,Right side,8.0,1,"Cat, cat, cat",2699,No,walk
First,4.0,3.0,Right,Left side,9.0,2,1,5835,No,Bike
First,6.0,40.0,Right,Back,8.0,0,0,8888,No,Bus
First,8.0,10.0,Right,Back,8.0,3,1 dog,6492,No,Bike
First,7.0,100.0,Right,Back,7.0,1,Cat,1290,No,walk
First,10.0,30.0,Right,Right side,8.0,1,"Cat, cat, cat",2698,No,walk
Second,4.0,60.0,Right,Right side,7.0,5,a german shepard mixed with a Dalmatian,7492,Yes,Bus
Third,6.0,100.0,Right,Left side,7.0,2,"1, 2",1797,Yes,Bus
First,4.0,10.0,Right,Back,9.0,1,no pets,3743,No,walk
