Year,Extraversion,Number of texts,Handedness,Sleep position,Hours of Sleep,Siblings,Pets,Random Number,Tattoo,Commute
Second,3.0,5.0,Right,Back,6.0,1,cat,4635,No,walk
Second,3.0,30.0,Right,Left side,8.0,1,1,1025,Yes,walk
First,2.0,5.0,Right,Back,8.0,2,Jack Mackerel,7682,No,walk
Third,5.0,3.0,Right,Left side,6.0,1,1 cat,4444,Yes,Bike
Second,6.0,50.0,Right,Back,8.0,1,1,1614,No,Bike
Second,4.0,160.0,Right,Stomach,8.0,1,Dog,0127,No,walk
Second,1.0,5.0,Right,Right side,7.0,1,"cat, dog",3421,No,Bus
First,3.0,10.0,Right,Right side,10.0,3,4 dogs,2739,No,walk
First,8.0,50.0,Right,Right side,8.0,2,2,4388,No,walk
First,5.0,20.0,Right,Back,9.0,2,1,0001,No,walk
First,8.0,50.0,Right,Right side,8.0,2,1,4388,No,walk
Second,10.0,500.0,Both,Stomach,13.0,2,Snake,12345,Yes,Bus
Third,5.0,20.0,Both,Stomach,6.0,2,"cat, cat",0376,Yes,Car
First,7.0,40.0,Right,Left side,7.0,1,none,9765,No,walk
Second,7.0,20.0,Right,Left side,8.0,1,0,1738,No,Bike
First,5.0,50.0,Right,Back,7.0,2,cat,4539,Yes,walk
Fourth,2.0,15.0,Right,Right side,7.0,one,one dog,1088,No,Bike
First,8.0,35.0,Right,Right side,7.0,2,I have two dogs ,4876,No,Bike
Second,3.0,10.0,Right,Right side,7.0,2,"Dogs, birds, and reptiles",2,Yes,Bike
First,5.0,50.0,Right,Left side,9.0,1,1 pug,4532,Yes,walk
Third,3.0,20.0,Right,Left side,6.0,2,1,2143,No,walk
Third,6.0,85.0,Right,Left side,7.0,2,Dog,7483,No,walk
First,3.0,10.0,Right,Right side,8.0,0,Cat,5243,No,walk
First,7.0,30.0,Right,Right side,7.0,1,dogs,5608,No,Bike
First,7.0,30.0,Right,Right side,7.0,1,Dogs,4598,No,Bike
First,8.0,75.0,Right,Right side,8.0,1,dog,1805,No,Bike
Second,5.0,10.0,Right,Right side,7.0,2,none,2004,Yes,walk
First,6.0,25.0,Left,Left side,9.0,2,"dog, dog",5467,No,Bike
Second,4.0,5.0,Right,Right side,7.0,1,0,5892,No,electric skateboard
Third,4.0,10.0,Right,Right side,7.0,0,0,4329,No,walk
First,2.0,30.0,Right,Left side,7.0,2,Dog,2849,No,walk
First,3.0,10.0,Right,Back,6.0,1,Cat,0203,No,Bike
Second,7.0,10.0,Right,Stomach,9.0,1,A dog,7777,No,walk
Second,7.0,10.0,Right,Stomach,9.0,1,A dog,7777,No,walk
Second,5.0,55.0,Right,Right side,5.0,1,dog,1019,No,walk
First,5.0,20.0,Right,Back,9.0,2,1,0001,No,Bike
First,6.0,2.0,Right,Right side,7.0,0,turtle,5678,No,Bus
Fourth,1.0,5.0,Right,Left side,6.0,3,Bunny ,5555,No,Bus
Third,9.0,30.0,Right,Right side,8.0,2,1 dog,8890,No,Bike
First,6.0,20.0,Right,Left side,8.0,2,Dog,5437,No,Bike
First,4.0,0.0,Right,Right side,7.0,0,0,4321,No,walk
Third,1.0,40.0,Right,Left side,7.0,2,"dog,cat,cat",1287,No,Bike
Third,5.0,15.0,Right,Stomach,9.0,1,"cat, gecko, millipede",5876,Yes,Bus
Fourth,1.0,5.0,Right,Left side,6.0,3,bunny,5555,No,Bus
Fourth,9.0,100.0,Right,Right side,7.0,1,none,3642,No,Bike
First,3.0,4.0,Right,Right side,7.0,0,0,3214,No,walk
First,5.0,4.0,Right,Right side,8.0,2,0,6249,No,walk
First,6.0,4.0,Right,Left side,8.0,2,0,0392,No,walk
First,6.0,30.0,Right,Back,8.0,1,German Shepard,3024,No,Bike
First,7.0,5.0,Right,Right side,7.0,1,none,1546,No,Car
First,7.0,5.0,Right,Left side,7.0,1,none,1546,No,Car
